race,type,ticket,cost
7,TRIFECTA,9/4/8,2.0
7,TRIFECTA,9/8/5,2.0
7,TRIFECTA,9/8/2,2.0
7,TRIFECTA,9/8/6,2.0
7,TRIFECTA,9/8/4,2.0
7,TRIFECTA,5/9/2,2.0
7,TRIFECTA,5/9/6,2.0
7,TRIFECTA,5/9/4,2.0
7,TRIFECTA,5/9/8,2.0
8,TRIFECTA,9/4/5,2.0
8,TRIFECTA,9/4/2,2.0
8,TRIFECTA,9/4/8,2.0
8,TRIFECTA,9/4/6,2.0
8,TRIFECTA,9/5/4,2.0
8,TRIFECTA,9/5/2,2.0
8,TRIFECTA,9/5/8,2.0
8,TRIFECTA,9/5/6,2.0
8,TRIFECTA,9/2/4,2.0
8,TRIFECTA,9/2/5,2.0
8,TRIFECTA,9/2/8,2.0
8,TRIFECTA,9/2/6,2.0
8,TRIFECTA,9/8/4,2.0
8,TRIFECTA,9/8/5,2.0
8,TRIFECTA,9/8/2,2.0
8,TRIFECTA,9/8/6,2.0
8,TRIFECTA,9/6/4,2.0
8,TRIFECTA,9/6/5,2.0
8,TRIFECTA,9/6/2,2.0
8,TRIFECTA,9/6/8,2.0
8,TRIFECTA,4/9/5,2.0
8,TRIFECTA,4/9/2,2.0
8,TRIFECTA,4/9/8,2.0
8,TRIFECTA,4/9/6,2.0
9,TRIFECTA,6/2/10,2.0
9,TRIFECTA,6/2/7,2.0
9,TRIFECTA,6/2/3,2.0
9,TRIFECTA,6/2/4,2.0
9,TRIFECTA,6/10/2,2.0
9,TRIFECTA,6/10/7,2.0
9,TRIFECTA,6/10/3,2.0
9,TRIFECTA,6/10/4,2.0
9,TRIFECTA,6/7/2,2.0
9,TRIFECTA,6/7/10,2.0
9,TRIFECTA,6/7/3,2.0
9,TRIFECTA,6/7/4,2.0
9,TRIFECTA,6/3/2,2.0
9,TRIFECTA,6/3/10,2.0
9,TRIFECTA,6/3/7,2.0
9,TRIFECTA,6/3/4,2.0
9,TRIFECTA,6/4/2,2.0
9,TRIFECTA,6/4/10,2.0
9,TRIFECTA,6/4/7,2.0
9,TRIFECTA,6/4/3,2.0
9,TRIFECTA,2/6/10,2.0
9,TRIFECTA,2/6/7,2.0
9,TRIFECTA,2/6/3,2.0
9,TRIFECTA,2/6/4,2.0
10,TRIFECTA,7/4/1,2.0
10,TRIFECTA,7/4/3,2.0
10,TRIFECTA,7/4/10,2.0
10,TRIFECTA,7/4/9,2.0
10,TRIFECTA,7/1/4,2.0
10,TRIFECTA,7/1/3,2.0
10,TRIFECTA,7/1/10,2.0
10,TRIFECTA,7/1/9,2.0
10,TRIFECTA,7/3/4,2.0
10,TRIFECTA,7/3/1,2.0
10,TRIFECTA,7/3/10,2.0
10,TRIFECTA,7/3/9,2.0
10,TRIFECTA,7/10/4,2.0
10,TRIFECTA,7/10/1,2.0
10,TRIFECTA,7/10/3,2.0
10,TRIFECTA,7/10/9,2.0
10,TRIFECTA,7/9/4,2.0
10,TRIFECTA,7/9/1,2.0
10,TRIFECTA,7/9/3,2.0
10,TRIFECTA,7/9/10,2.0
10,TRIFECTA,4/7/1,2.0
10,TRIFECTA,4/7/3,2.0
10,TRIFECTA,4/7/10,2.0
10,TRIFECTA,4/7/9,2.0
11,TRIFECTA,3/6/4,2.0
11,TRIFECTA,3/6/1,2.0
11,TRIFECTA,3/6/2,2.0
11,TRIFECTA,3/6/7,2.0
11,TRIFECTA,3/4/6,2.0
11,TRIFECTA,3/4/1,2.0
11,TRIFECTA,3/4/2,2.0
11,TRIFECTA,3/4/7,2.0
11,TRIFECTA,3/1/6,2.0
11,TRIFECTA,3/1/4,2.0
11,TRIFECTA,3/1/2,2.0
11,TRIFECTA,3/1/7,2.0
11,TRIFECTA,3/2/6,2.0
11,TRIFECTA,3/2/4,2.0
11,TRIFECTA,3/2/1,2.0
11,TRIFECTA,3/2/7,2.0
11,TRIFECTA,3/7/6,2.0
11,TRIFECTA,3/7/4,2.0
11,TRIFECTA,3/7/1,2.0
11,TRIFECTA,3/7/2,2.0
11,TRIFECTA,6/3/4,2.0
11,TRIFECTA,6/3/1,2.0
11,TRIFECTA,6/3/2,2.0
11,TRIFECTA,6/3/7,2.0
12,TRIFECTA,4/8/7,2.0
12,TRIFECTA,4/8/3,2.0
12,TRIFECTA,4/8/9,2.0
12,TRIFECTA,4/8/2,2.0
12,TRIFECTA,4/7/8,2.0
12,TRIFECTA,4/7/3,2.0
12,TRIFECTA,4/7/9,2.0
12,TRIFECTA,4/7/2,2.0
12,TRIFECTA,4/3/8,2.0
12,TRIFECTA,4/3/7,2.0
12,TRIFECTA,4/3/9,2.0
12,TRIFECTA,4/3/2,2.0
12,TRIFECTA,4/9/8,2.0
12,TRIFECTA,4/9/7,2.0
12,TRIFECTA,4/9/3,2.0
12,TRIFECTA,4/9/2,2.0
12,TRIFECTA,4/2/8,2.0
12,TRIFECTA,4/2/7,2.0
12,TRIFECTA,4/2/3,2.0
12,TRIFECTA,4/2/9,2.0
12,TRIFECTA,8/4/7,2.0
12,TRIFECTA,8/4/3,2.0
12,TRIFECTA,8/4/9,2.0
12,TRIFECTA,8/4/2,2.0
13,TRIFECTA,8/7/9,2.0
13,TRIFECTA,8/7/6,2.0
13,TRIFECTA,8/7/1,2.0
13,TRIFECTA,8/7/2,2.0
13,TRIFECTA,8/9/7,2.0
13,TRIFECTA,8/9/6,2.0
13,TRIFECTA,8/9/1,2.0
13,TRIFECTA,8/9/2,2.0
13,TRIFECTA,8/6/7,2.0
13,TRIFECTA,8/6/9,2.0
13,TRIFECTA,8/6/1,2.0
13,TRIFECTA,8/6/2,2.0
13,TRIFECTA,8/1/7,2.0
13,TRIFECTA,8/1/9,2.0
13,TRIFECTA,8/1/6,2.0
13,TRIFECTA,8/1/2,2.0
13,TRIFECTA,8/2/7,2.0
13,TRIFECTA,8/2/9,2.0
13,TRIFECTA,8/2/6,2.0
13,TRIFECTA,8/2/1,2.0
13,TRIFECTA,7/8/9,2.0
13,TRIFECTA,7/8/6,2.0
13,TRIFECTA,7/8/1,2.0
13,TRIFECTA,7/8/2,2.0
14,TRIFECTA,4/5/6,2.0
14,TRIFECTA,4/5/2,2.0
14,TRIFECTA,4/5/3,2.0
14,TRIFECTA,4/5/1,2.0
14,TRIFECTA,4/6/5,2.0
14,TRIFECTA,4/6/2,2.0
14,TRIFECTA,4/6/3,2.0
14,TRIFECTA,4/6/1,2.0
14,TRIFECTA,4/2/5,2.0
14,TRIFECTA,4/2/6,2.0
14,TRIFECTA,4/2/3,2.0
14,TRIFECTA,4/2/1,2.0
14,TRIFECTA,4/3/5,2.0
14,TRIFECTA,4/3/6,2.0
14,TRIFECTA,4/3/2,2.0
14,TRIFECTA,4/3/1,2.0
14,TRIFECTA,4/1/5,2.0
14,TRIFECTA,4/1/6,2.0
14,TRIFECTA,4/1/2,2.0
14,TRIFECTA,4/1/3,2.0
14,TRIFECTA,5/4/6,2.0
14,TRIFECTA,5/4/2,2.0
14,TRIFECTA,5/4/3,2.0
14,TRIFECTA,5/4/1,2.0
