horse_name,program,pp,race,dt_s,dt_wp,dt_pp,dt_sp,dt_ip,dt_rp,dh_s,dh_wp,dh_pp,dh_sp,dh_ip,dh_rp,th_s,th_wp,th_pp,th_sp,th_ip,th_rp,sc_avgcr,sc_avgsr,sc_hisr,pc_sty_q1,pc_sty_q2,pc_sty_q3,pc_sty_fn,pc_sty_r,pc_fig_q1,pc_fig_q2,pc_fig_q3,pc_fig_q4,pc_fig_cp,pc_fig_r,tr_hs_brk,tr_hs_pkal,tr_hs_pkq1,tr_hs_pkq2,tr_hs_pkq3,cpr_speed,cpr_class,cpr_pace,cpr_eps,cpr_prepow,cpr_drvhrs,cpr_winst,cpr_off,cpr_fitnes,cpr_drv_wp,cpr_pp_rp,cpr_drv_rp,cpr_drp_rp,cpr_break,cpr_pace_l,cpr_trn_wp,cpr_trn_rp,rca91_al_s,rca91_al_1,rca91_al_2,rca91_al_3,rca91_of_s,rca91_of_1,rca91_of_2,rca91_of_3,rcaty_s,rcaty_1,rcaty_2,rcaty_3,rcaly_s,rcaly_1,rcaly_2,rcaly_3,rct91_al_s,rct91_al_1,rct91_al_2,rct91_al_3,rct91_of_s,rct91_of_1,rct91_of_2,rct91_of_3,rctty_s,rctty_1,rctty_2,rctty_3,rctly_s,rctly_1,rctly_2,rctly_3,era91al_s,era91al_wp,era91al_pp,era91al_sp,era91al_ip,era91al_rp,era91al_pd,era91al_sd,era91of_s,era91of_wp,era91of_pp,era91of_sp,era91of_ip,era91of_rp,era91of_pd,era91of_sd,eratyal_s,eratyal_wp,eratyal_pp,eratyal_sp,eratyal_ip,eratyal_rp,eratyal_pd,eratyal_sd,eralyal_s,eralyal_wp,eralyal_pp,eralyal_sp,eralyal_ip,eralyal_rp,eralyal_pd,eralyal_sd,era06al_s,era06al_wp,era06al_pp,era06al_sp,era06al_ip,era06al_rp,era06al_pd,era_apv,ert91al_s,ert91al_wp,ert91al_pp,ert91al_sp,ert91al_ip,ert91al_rp,ert91al_pd,ert91al_sd,ert91of_s,ert91of_wp,ert91of_pp,ert91of_sp,ert91of_ip,ert91of_rp,ert91of_pd,ert91of_sd,erttyal_s,erttyal_wp,erttyal_pp,erttyal_sp,erttyal_ip,erttyal_rp,erttyal_pd,erttyal_sd,ertlyal_s,ertlyal_wp,ertlyal_pp,ertlyal_sp,ertlyal_ip,ertlyal_rp,ertlyal_pd,ertlyal_sd,ert06al_s,ert06al_wp,ert06al_pp,ert06al_sp,ert06al_ip,ert06al_rp,ert06al_pd,btty_time,btty_trk,btty_size,btty_age,btty_race,btly_time,btly_trk,btly_size,btly_age,btly_race,bt91_time,bt91_trk,bt91_size,bt91_age,bt91_race,bttt_time,bttt_trk,bttt_size,bttt_age,bttt_race,cl_date,cl_recent,cl_clmpric,cl_clmfrom,cl_1offclw,cl_1offcls,cl_2offclw,cl_2offcls,cl_14_lo_w,cl_14_lo_s,cl_31_lo_w,cl_31_lo_s,me_lasixto,me_buteto,me_hopfree,morn_odds,power_symb,saddleclth,age,sex,color,power,breed_name,breed_locn,owner_name,owner_locn,claimprice,rank_power,rank_speed,rank_class,rank_pace,mudmark,daysago,era91na_pd,lastxraces,eralxal_pd,regno,btty_tmc,btly_tmc,bt91_tmc,bttt_tmc,horseratin,trainer,driver,sire,dam,ppdata,CPR_Composite,CPR_Color,CPR_Rank,CPR_Prob,Fair_Prob,Fair_Odds_Dec,Fair_Odds_Frac,ML_Prob,Overlay_Diff,Value_Flag,CPR_Delta,Tier,Chaos_Index,Chaos_Label
OFFICER BLUE CHIP,9,9,11,14,14,7,14,35,-23,7,29,0,14,43,51,31,6,0,10,16,-65,71,55,59,10.9,11.1,9.8,8.9,10,50,60,67,42,54,5,0,6,3,6,10,55.0,71.0,58.5,70.5,80.0,75.6,65.4,72.1,65.7,73.0,82.1,61.5,6.6,80.5,42.0,52.5,11.1,297,29,26,36,36,4,5,6,26,0,0,2,39,6,2,5,15,0,0,0,1,0,0,0,8,0,0,0,4,0,0,0,297,10,9,12,31,-44,172989,582,36,11,14,17,42,-42,20546,571,26,0,0,8,8,-100,7810,300,39,15,5,13,33,62,20747,532,6,0,0,0,0,-100,1610,0.7,15,0,0,0,0,-100,5140,343,1,0,0,0,0,-100,255,255,8,0,0,0,0,-100,3700,463,4,0,0,0,0,-100,1440,360,6,0,0,0,0,-100,2985,,,,0,,1:58.6,FHLD,1/2,10,,1:53.6,DD,5/8,3,,,,,0,,0,,0.0,,0,0,0,0,0,3,0,4,,,,20/1,,Purple,11,g,b,65.3,"Blue Chip Bloodstock Inc,NY",NY,"John Joseph Urbanski,Bridgeton,NJ",,0,8,10,7,10,,7,172989,5,1360,6M0474,999.0,118.6,113.6,999.0,55.53,,,,,,53.0,⚫,8,0.0913,0.0913,10.95,9.95/1,0.047619047619047616,0.044,VALUE,11.8,C,4.37,Medium
SOMETIMESAWINNER,10,10,11,5,0,0,20,20,-100,5,0,0,20,20,-100,14,0,14,7,21,-100,73,65,74,9.7,9.3,9.6,7.8,10,54,80,76,58,66,5,13,17,0,13,38,65.0,73.0,59.5,84.6,80.0,40.2,75.4,88.6,67.2,37.0,59.3,0.0,0.0,50.8,58.0,41.2,0.0,140,24,12,12,18,6,3,2,11,0,0,1,31,3,4,2,16,0,0,1,2,0,0,0,8,0,0,1,2,0,0,0,140,17,9,9,34,-30,234721,1677,18,33,17,11,61,84,50300,2794,11,0,0,9,9,-100,2490,226,31,10,13,6,29,-59,12965,418,6,0,0,17,17,-100,1440,0.6,16,0,0,6,6,-100,4205,263,2,0,0,0,0,-100,510,255,8,0,0,13,13,-100,2490,311,2,0,0,0,0,-100,540,270,6,0,0,17,17,-100,1980,,,,0,,1:57.2,FHLD,1/2,9,,1:50.4,PCD,5/8,4,,,,,0,,20201220,,20.0,"Ruiz,Matias",1,5,1,5,0,4,0,3,L,,,20/1,,Blue-Red,10,g,b,67.8,"Fashion Farms LLC,PA",PA,"Charles J Anderson,Jackson,NJ",,0,5,6,5,6,H,7,234721,5,1440,7N5330,999.0,117.2,110.4,999.0,58.6,,,,,,50.8,⚫,10,0.0875,0.0875,11.43,10.43/1,0.047619047619047616,0.04,VALUE,14.0,C,4.37,Medium
LADYZAR,1,1,12,0,0,0,0,0,-999,0,0,0,0,0,-999,36,8,3,17,28,-77,73,71,77,2.7,2.5,2.5,4.1,10,76,82,67,60,70,5,0,8,10,6,10,71.0,73.0,70.5,72.7,80.0,40.2,61.6,40.2,59.4,71.6,81.2,45.8,62.5,80.5,60.0,67.1,49.2,109,9,7,12,11,0,0,1,33,3,1,5,39,3,4,5,60,3,3,10,5,0,0,1,25,3,1,4,17,0,0,5,109,8,6,11,26,-66,75620,694,11,0,0,9,9,-100,3961,360,33,9,3,15,27,-74,24190,733,39,8,10,13,31,-70,20923,536,6,17,0,17,34,-57,5850,1.0,60,5,5,17,27,-86,38400,640,5,0,0,20,20,-100,2901,580,25,12,4,16,32,-67,21488,860,17,0,0,29,29,-100,7756,456,6,17,0,33,50,-57,6055,1:53.4,M,1,5,,1:55.4,PHL,5/8,4,,1:53.4,M,1,5,,1:53.4,M,1.0,5,,0,,0.0,,0,0,0,0,0,1,0,2,L,,,6/1,,Red,5,m,br,69.4,"James L Avritt Jr,KY",KY,"Beverly Schiffman,Wayne,NJ",,0,7,3,5,5,,7,75620,5,5290,4V9115,113.4,115.4,113.4,113.4,71.27,,,,,,58.7,⚫,9,0.0953,0.0953,10.49,9.49/1,0.14285714285714285,-0.048,,6.9,B,2.88,Low
LE BEC FIN,2,2,12,7,29,0,0,29,149,1,0,0,0,0,-100,0,0,0,0,0,-999,74,72,78,3.5,3.4,3.3,4.9,10,73,74,69,72,72,5,0,2,3,0,5,72.0,74.0,69.7,76.7,80.0,40.2,55.0,40.2,49.1,68.7,88.9,76.7,120.0,80.5,72.0,67.1,65.7,62,3,11,9,6,0,0,1,28,1,6,2,24,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,5,18,15,37,-84,58314,941,6,0,0,17,17,-100,3160,527,28,4,21,7,32,-90,22236,794,24,4,13,17,33,-75,24965,1040,6,17,0,17,34,-56,6300,1.0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,1:58.6,HAR,1/2,4,,1:57.4,WBSB,7/8,3,Q,1:57.4,WBSB,7/8,3,Q,,,,0,,0,,0.0,,0,0,0,0,0,9,0,0,,,,12/1,,Blue,4,m,b,70.9,"Howard A Taylor,PA",PA,"Jaypaul R Hoover,Ephrata,PA",,0,4,2,3,1,D,27,58309,5,1800,0WP223,118.6,117.4,117.4,999.0,71.95,,,,,,61.3,🔴,6,0.0995,0.0995,10.05,9.05/1,0.07692307692307693,0.023,,4.3,B,2.88,Low
SHIPPS REVENGE,3,3,12,8,25,13,0,38,-7,0,0,0,0,0,-999,16,6,19,25,50,-92,71,71,75,2.7,3.1,3.4,3.8,10,86,62,69,66,71,5,0,11,0,15,18,71.0,71.0,70.0,79.0,80.0,40.2,80.0,72.1,70.9,78.4,60.4,68.8,79.4,80.5,66.0,70.2,52.6,59,13,14,6,4,1,0,1,19,1,4,4,23,4,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59,22,24,10,56,-67,65716,1114,4,25,0,25,50,0,4628,1157,19,5,21,21,47,-93,15106,795,23,17,30,4,52,-43,29373,1277,6,17,17,17,51,-79,3758,0.9,1,0,0,0,0,-100,255,255,0,0,0,0,0,-999,0,0,1,0,0,0,0,-100,255,255,0,0,0,0,0,-999,0,0,1,0,0,0,0,-100,255,1:57.2,MR,1/2,4,,1:58.6,NFLD,1/2,3,,1:57.2,MR,1/2,4,,,,,0,,0,,0.0,,0,0,0,0,0,5,0,1,L,,,10/1,,White,4,m,b,70.9,"Hoosier Standardbred Farm,IN",IN,"Go For Glory Stable LLC,Metuchen,NJ",,0,4,3,7,3,,6,65716,5,1708,4W6854,117.2,118.6,117.2,999.0,71.16,,,,,,62.7,🔴,4,0.1018,0.1018,9.82,8.82/1,0.09090909090909091,0.011,,2.9,A,2.88,Low
SPROUT,4,4,12,11,18,27,18,63,83,5,0,20,40,60,-100,30,10,17,13,40,157,77,71,76,3.2,4.0,4.4,4.6,10,85,67,61,73,71,5,0,2,2,2,3,71.0,77.0,69.2,73.5,80.0,67.1,68.7,60.3,61.0,73.0,48.1,61.5,20.3,80.5,73.0,61.6,108.6,162,19,21,28,27,2,2,2,28,2,5,4,35,3,4,4,25,1,2,4,2,0,0,0,16,1,2,4,8,0,0,0,162,12,13,17,42,57,119436,737,27,7,7,7,21,-62,11939,442,28,7,18,14,39,85,23520,840,35,9,11,11,31,0,25609,732,6,0,33,33,66,-100,5705,0.9,25,4,8,16,28,50,18763,751,2,0,0,0,0,-100,855,428,16,6,13,25,44,134,14275,892,8,0,0,0,0,-100,4488,561,6,0,17,33,50,-100,4365,1:53.6,PHL,5/8,8,,1:55.2,PHL,5/8,7,,1:53.6,PHL,5/8,8,,1:53.6,M,1.0,8,,0,,0.0,,0,0,0,0,0,6,0,1,L,,,4/1,L,Green,8,m,b,68.8,"Gty Stable,NJ",NJ,"Gty Stable,Englishtown,NJ",,0,8,3,1,3,,7,119436,5,4080,3R9154,113.6,115.2,113.6,113.6,72.08,,,,,,65.6,🔴,1,0.1065,0.1065,9.39,8.39/1,0.2,-0.094,,0.0,A,2.88,Low
BABY DOLL JEN,5,5,12,14,7,14,0,21,-33,11,9,18,0,27,-15,36,3,6,6,15,-73,70,64,68,7.2,6.9,7.0,5.3,10,62,71,69,56,64,5,6,6,1,6,13,64.0,70.0,66.0,73.8,80.0,73.9,55.0,52.4,73.0,63.5,58.2,68.8,8.0,65.0,56.0,55.0,46.9,116,6,15,9,13,0,1,0,33,1,2,1,31,3,2,2,21,1,2,1,1,0,0,0,15,1,2,0,6,0,0,1,116,5,13,8,26,-70,87469,754,13,0,8,0,8,-100,4210,324,33,3,6,3,12,-71,12520,379,31,10,6,6,23,-42,19630,633,6,17,0,17,34,53,4620,0.8,21,5,10,5,20,-55,12990,619,1,0,0,0,0,-100,240,240,15,7,13,0,20,-38,10315,688,6,0,0,17,17,-100,2675,446,6,17,17,0,34,53,6560,1:55.4,M,1,6,,1:55.0,RCR,5/8,5,,1:55.0,RCR,5/8,5,,1:55.4,M,1.0,6,,0,,0.0,,0,0,0,0,0,9,0,0,,,,12/1,,Black,6,m,br,65.8,"Stephen N Stites & John A Bosch,NJ",MD,"John A Bosch,Clarksboro,NJ",,0,10,10,9,10,U,6,87469,5,4620,2T4948,115.4,115.0,115.0,115.4,65.26,,,,,,57.0,⚫,10,0.0925,0.0925,10.81,9.81/1,0.07692307692307693,0.016,,8.6,C,2.88,Low
I DREAM OF JEANIE,6,6,12,16,19,13,19,51,-60,0,0,0,0,0,-999,1,100,0,0,100,90,70,68,76,2.6,2.6,2.6,3.5,10,79,64,65,65,68,5,0,3,3,2,5,68.0,70.0,70.5,80.4,80.0,40.2,82.1,83.4,69.4,73.0,75.7,42.3,7.3,80.5,65.0,65.4,15.5,48,12,8,6,5,0,2,1,28,10,4,2,19,2,4,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,48,25,17,13,54,-29,59399,1237,5,0,40,20,60,-100,5733,1147,28,36,14,7,57,-9,37978,1356,19,11,21,21,53,-54,21421,1127,6,17,0,0,17,-67,4340,0.7,1,100,0,0,100,90,3920,3920,0,0,0,0,0,-999,0,0,1,100,0,0,100,90,3920,3920,0,0,0,0,0,-999,0,0,1,100,0,0,100,90,3920,1:53.2,M,1,4,,1:55.6,WBSB,7/8,3,,1:53.2,M,1,4,,1:53.2,M,1.0,4,,0,,0.0,,0,0,0,0,0,2,1,3,,,,3/1,,Yellow,4,m,b,72.0,"Leonard W Gamble,ON, CA",ON,"Newton M Sheridan,Manchester,NJ",,0,3,9,9,9,,6,59397,5,4340,1WM798,113.2,115.6,113.2,113.2,68.95,,,,,,59.3,⚫,7,0.0963,0.0963,10.38,9.38/1,0.25,-0.154,,6.3,B,2.88,Low
ALMOST KAREN,7,7,12,14,7,14,7,28,-34,13,8,15,8,31,-29,32,25,16,3,44,28,74,73,76,5.5,5.1,4.8,4.5,10,69,76,71,75,72,5,0,11,3,14,16,73.0,74.0,67.9,79.8,80.0,70.2,77.4,90.9,57.7,61.6,51.5,58.2,12.8,80.5,75.0,71.6,52.6,154,30,27,20,27,8,7,4,27,5,5,1,39,7,4,3,33,5,5,1,2,1,0,0,26,5,4,1,4,0,1,0,154,19,18,13,50,-25,181919,1181,27,30,26,15,71,61,41899,1552,27,19,19,4,41,11,34708,1285,39,18,10,8,36,-18,34006,872,6,17,17,0,34,23,6845,1.0,33,15,15,3,33,-8,36763,1114,2,50,0,0,50,90,4030,2015,26,19,15,4,38,15,33208,1277,4,0,25,0,25,-100,2835,709,6,17,17,0,34,23,6845,1:52.6,M,1,7,,1:56.0,FHLD,1/2,6,,1:52.6,M,1,7,,1:52.6,M,1.0,7,,0,,0.0,,0,0,0,0,0,4,1,4,L,,,6/1,,Pink,7,m,b,70.2,"Lawrence J Minnis,IA",IA,"Fusco Strong LLC,Millstone,NJ",,0,6,1,3,1,H,7,181919,5,4975,9S7673,112.6,116.0,112.6,112.6,70.83,,,,,,64.4,🔴,3,0.1045,0.1045,9.57,8.57/1,0.14285714285714285,-0.038,,1.2,A,2.88,Low
JUST MY MAMA,8,8,12,139,9,18,12,39,-27,25,12,32,8,52,-56,33,18,24,6,48,-46,72,71,74,7.8,7.2,6.8,3.5,10,60,70,75,78,70,5,0,10,2,12,17,71.0,72.0,65.8,77.8,80.0,85.7,73.0,93.1,65.7,63.5,70.8,75.7,29.8,80.5,78.0,65.4,62.6,53,8,12,4,8,2,3,0,29,5,6,2,17,2,5,2,32,5,6,2,5,0,2,0,28,5,6,2,3,0,0,0,53,15,23,8,45,-61,54023,1019,8,25,38,0,63,-17,11843,1480,29,17,21,7,45,-57,36593,1262,17,12,29,12,53,-61,12966,763,6,17,33,0,50,-42,8480,1.0,32,16,19,6,41,-61,37313,1166,5,0,40,0,40,-100,4843,969,28,18,21,7,46,-55,36593,1307,3,0,0,0,0,-100,720,240,6,17,33,0,50,-42,8480,1:54.0,M,1,5,,1:58.8,FHLD,1/2,4,,1:54.0,M,1,5,,1:54.0,M,1.0,5,,0,,0.0,,0,0,0,0,0,5,0,2,L,,,8/1,,Gray,5,m,gr,72.2,"Eugene W Landy,NJ",NJ,"Eugene W Landy,Rumson,NJ",,0,2,3,6,5,H,7,54023,5,7885,3V2922,114.0,118.8,114.0,114.0,70.4,,,,,,65.5,🔴,2,0.1063,0.1063,9.41,8.41/1,0.1111111111111111,-0.005,,0.1,A,2.88,Low
ROSEY TIME,9,9,12,148,8,13,17,38,-45,7,29,14,29,72,-14,7,29,14,29,72,-14,71,71,74,3.6,3.7,3.1,2.9,10,81,61,71,69,70,5,0,3,6,3,2,71.0,71.0,69.6,79.6,80.0,85.2,80.0,84.0,65.7,59.5,82.1,62.6,0.0,80.5,69.0,59.5,37.7,174,39,23,16,29,7,5,0,29,11,4,3,31,10,5,4,10,2,0,2,0,0,0,0,0,0,0,0,2,1,0,1,174,22,13,9,45,-6,203037,1167,29,24,17,0,41,-22,37943,1308,29,38,14,10,62,2,43026,1484,31,32,16,13,61,6,54932,1772,6,33,17,17,67,0,5923,0.6,10,20,0,20,40,117,12510,1251,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,2,50,0,50,100,655,5085,2543,6,33,0,17,50,262,10710,1:54.0,TGDN,5/8,8,,1:52.6,PHL,5/8,7,,1:52.4,M,1,6,,1:52.4,M,1.0,6,,20231203,,15.0,"Speron,Tom",0,3,1,3,1,4,1,2,L,,,12/1,,Purple,8,m,b,73.3,"Frontier Farms,IL",IN,"Thomas L Merton,Monticello,NY",,0,1,3,7,5,H,10,203037,5,5703,7R4487,114.0,112.6,112.4,112.4,69.78,,,,,,62.6,🔴,5,0.1016,0.1016,9.84,8.84/1,0.07692307692307693,0.025,,3.0,A,2.88,Low
TARGARYEN EMPRESS,10,10,12,59,2,7,12,21,-93,7,14,14,0,28,-52,34,12,9,9,30,-30,75,69,72,7.5,6.5,6.0,6.6,10,67,67,70,73,69,5,0,3,3,0,6,69.0,75.0,66.4,76.5,80.0,74.8,61.6,55.2,69.4,44.2,59.3,1.8,0.0,80.5,73.0,61.6,51.5,109,9,6,17,10,0,1,1,32,4,3,3,36,2,1,6,26,3,2,1,3,0,0,0,16,3,2,0,3,0,0,0,109,8,6,16,29,-14,100749,924,10,0,10,10,20,-100,6321,632,32,13,9,9,31,-26,30350,948,36,6,3,17,25,-15,23464,652,6,17,17,17,51,-44,7115,1.0,26,12,8,4,24,-21,23326,897,3,0,0,0,0,-100,1161,387,16,19,13,0,32,26,20075,1255,3,0,0,0,0,-100,1651,550,6,17,17,0,34,-44,6620,1:52.8,PHL,5/8,6,,1:55.2,PHL,5/8,5,,1:52.8,PHL,5/8,6,,1:53.4,M,1.0,6,,0,,0.0,,0,0,0,0,0,8,0,0,L,,,5/1,,Blue-Red,6,m,b,67.8,"Megan Rogers Racing Stables Inc,IL",PA,"Tony Mancini Mr,Jackson,NJ;Ivan S Llopez,Farmingdale,NJ",,0,9,8,2,8,,6,100749,5,6335,9T9637,112.8,115.2,112.8,113.4,68.13,,,,,,59.0,⚫,8,0.0958,0.0958,10.44,9.44/1,0.16666666666666666,-0.071,,6.6,B,2.88,Low
GET SOME CASH,1,1,13,0,0,0,0,0,-999,0,0,0,0,0,-999,9,22,11,11,44,-1,81,76,83,4.2,4.4,3.7,3.2,10,71,77,74,82,76,5,0,5,0,4,13,76.0,81.0,74.0,76.8,80.0,40.2,70.2,55.2,61.8,59.5,81.2,87.3,95.3,80.0,82.0,76.4,59.3,112,14,8,11,22,1,1,4,22,4,1,3,25,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,13,7,10,29,4,105747,944,22,5,5,18,28,-52,14288,649,22,18,5,14,36,102,28085,1277,25,8,4,8,20,-12,14369,575,6,33,17,0,50,47,14925,1.1,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,1:55.6,MEA,5/8,6,,1:56.0,MEA,5/8,5,,1:55.6,MEA,5/8,6,,,,,0,,0,,0.0,,0,0,0,0,1,6,0,2,L,,,8/1,L,Red,6,g,br,74.8,"Emma A Raber,OH",OH,"Scott V Keppler,Ridgefield,CT",,0,3,5,1,3,,9,105747,5,14125,1TB571,115.6,116.0,115.6,999.0,74.73,,,,,,66.1,🔴,5,0.102,0.102,9.8,8.8/1,0.1111111111111111,-0.009,,2.4,A,2.6,Low
CRAZY SUPERSPORT,2,2,13,1,0,0,0,0,-100,0,0,0,0,0,-999,5,0,40,20,60,-100,76,76,78,3.2,2.7,1.4,2.6,4,91,71,80,62,75,2,6,6,0,20,0,76.0,76.0,75.6,81.4,80.0,40.2,70.2,88.6,50.9,61.6,88.9,37.7,0.0,75.9,62.0,82.1,73.8,79,10,17,6,12,2,4,0,5,0,2,1,18,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,79,13,22,8,42,-59,105135,1331,12,17,33,0,50,-63,19950,1663,5,0,40,20,60,-100,5005,1001,18,6,17,0,22,-76,11210,623,6,0,33,17,50,-100,5005,0.8,1,0,0,0,0,-100,665,665,0,0,0,0,0,-999,0,0,1,0,0,0,0,-100,665,665,0,0,0,0,0,-999,0,0,1,0,0,0,0,-100,665,,,,0,,1:55.4,MEA,5/8,5,,1:52.6,MEA,5/8,4,,,,,0,,0,,0.0,,0,0,0,0,0,1,0,1,L,,H,8/1,,Blue,6,h,b,74.4,"Chris U Hostetler,PA",PA,"Chris U Hostetler,Sandy Lake,PA",,0,4,5,8,7,H,7,105135,5,5005,5T0410,999.0,115.4,112.6,999.0,75.84,,,,,,63.6,🔴,6,0.0982,0.0982,10.18,9.18/1,0.1111111111111111,-0.013,,4.9,B,2.6,Low
BROOKROAD MASTER,3,3,13,6,0,17,17,34,-100,1,0,0,100,100,-100,22,5,5,18,28,-16,73,72,73,3.7,4.1,4.3,3.9,10,94,69,67,57,71,5,6,3,0,2,7,72.0,73.0,74.0,76.4,80.0,40.2,68.7,72.1,67.2,73.0,60.4,61.5,35.4,75.9,57.0,59.5,76.7,143,17,15,13,8,2,0,0,21,1,1,4,34,4,3,3,30,1,1,4,0,0,0,0,0,0,0,0,10,0,1,2,143,12,10,9,31,-48,131521,920,8,25,0,0,25,146,8996,1125,21,5,5,19,29,-12,11235,535,34,12,9,9,29,-70,24597,723,6,17,0,33,50,203,6410,0.7,30,3,3,13,19,-86,23580,786,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,10,0,10,20,30,-100,5880,588,6,0,0,0,0,-100,1530,1:57.8,PCD,5/8,9,,1:56.8,TGDN,5/8,8,,1:54.4,TGDN,5/8,5,,1:56.2,M,1.0,5,,0,,0.0,,0,0,0,0,0,4,0,2,L,,H,20/1,,White,9,g,b,69.2,"John W O'Connor,NY",NY,"Daniel J Young,Rock Hill,NY",,0,10,10,10,10,H,10,131521,5,6060,2P4373,117.8,116.8,114.4,116.2,72.35,,,,,,62.0,🔴,8,0.0957,0.0957,10.45,9.45/1,0.047619047619047616,0.048,VALUE,6.5,B,2.6,Low
LEXUS LEGACY,4,4,13,19,11,11,5,27,-82,0,0,0,0,0,-999,10,20,10,0,30,-50,75,74,78,4.9,4.9,5.0,3.5,10,66,78,79,74,74,5,13,4,3,3,8,74.0,75.0,73.1,82.8,80.0,40.2,71.6,40.2,61.8,71.6,48.1,45.8,33.2,71.3,74.0,78.4,67.8,22,3,1,2,1,0,0,0,20,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,5,9,27,-60,32423,1474,1,0,0,0,0,-100,730,730,20,15,5,10,30,-56,31693,1585,2,0,0,0,0,-100,730,365,6,17,17,0,34,-67,10835,1.4,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,1:56.4,PCD,5/8,3,,,,,0,,1:56.4,PCD,5/8,3,,,,,0,,0,,0.0,,0,0,0,0,1,6,0,0,,,H,8/1,,Green,3,g,b,71.2,"Norm H Dunstan,ON, CA",ON,"Burke Racing Stable LLC,Fredericktown,PA;Weaver Bruscemi LLC,Canonsburg,PA",,0,9,9,9,8,,10,32422,5,10835,5XM145,116.4,999.0,116.4,999.0,74.75,,,,,,62.8,🔴,7,0.0969,0.0969,10.32,9.32/1,0.1111111111111111,-0.014,,5.7,B,2.6,Low
MAGIC MELVIN,5,5,13,66,12,8,17,37,-32,9,22,0,11,33,192,11,18,0,9,27,139,79,75,79,5.2,5.4,5.2,4.3,10,80,78,74,66,74,5,20,4,2,4,6,75.0,79.0,72.8,81.2,80.0,69.2,61.6,40.2,57.7,73.0,58.2,42.3,23.4,66.9,66.0,76.4,51.5,49,4,8,8,2,0,0,1,23,2,3,2,25,2,5,5,7,1,1,0,0,0,0,0,5,1,0,0,2,0,1,0,49,8,16,16,41,-34,64315,1313,2,0,0,50,50,-100,2160,1080,23,9,13,9,30,14,25640,1115,25,8,20,20,48,-77,37115,1485,6,0,0,17,17,-100,3635,1.1,7,14,14,0,28,214,9100,1300,0,0,0,0,0,-999,0,0,5,20,0,0,20,340,6700,1340,2,0,50,0,50,-100,2400,1200,6,17,17,0,34,267,8700,1:55.0,M,1,4,,1:56.4,TGDN,5/8,3,,1:55.0,M,1,4,,1:55.0,M,1.0,4,,0,,0.0,,0,0,0,0,0,5,1,4,L,,,8/1,,Black,4,g,b,72.1,"Max J Hempt,PA",PA,"Joshua Jay Graber,Quincy,MI",,0,8,8,3,8,S,7,64315,5,1355,5WB082,115.0,116.4,115.0,115.0,75.19,,,,,,61.6,🔴,9,0.0951,0.0951,10.52,9.52/1,0.1111111111111111,-0.016,,6.9,B,2.6,Low
JACKED,6,6,13,0,0,0,0,0,-999,0,0,0,0,0,-999,6,17,33,0,50,45,78,77,81,3.6,3.2,3.3,3.2,10,88,74,77,68,76,5,13,2,6,0,2,77.0,78.0,74.7,85.9,80.0,40.2,80.8,82.8,65.7,78.4,75.7,68.8,48.1,71.3,68.0,76.4,75.7,106,24,14,12,18,4,3,0,23,3,5,0,36,6,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,23,13,11,47,-30,196327,1852,18,22,17,0,39,-14,35018,1945,23,13,22,0,35,-35,31408,1366,36,17,3,22,42,-45,52496,1458,6,17,33,0,50,45,11390,1.1,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,1:55.8,PCD,5/8,6,,1:56.8,BR,1/2,5,,1:55.8,PCD,5/8,6,,,,,0,,0,,0.0,,0,0,0,0,1,4,0,2,L,,,4/1,,Yellow,6,g,b,77.5,"Robert Mctsh Stbs,ON;C S X Stbs,OH;D Boyle,ON",ON,"Wine Stable,Wilkes Barre,PA;Michael J Holland,Kingston,PA",,0,2,2,6,3,,9,196325,5,10750,8TM135,115.8,116.8,115.8,999.0,77.37,,,,,,66.5,🔴,4,0.1026,0.1026,9.75,8.75/1,0.2,-0.097,,2.0,A,2.6,Low
